S. No.,tracking_id,cluster,lat,lng
5379,UID1000197129,5,12.9958,77.5634
5380,UID1000197130,5,12.9915,77.5635
5381,UID1000197131,5,12.9914,77.5638
5382,UID1000197293,5,12.998,77.5295
5383,UID1000197295,5,12.9975,77.5302
5384,UID1000197296,5,12.9975,77.5302
5385,UID1000197297,5,13.0016,77.5307
5386,UID1000197298,5,13.0014,77.5315
5387,UID1000197299,5,13.005,77.5295
5388,UID1000188149,5,12.9956,77.5781
5389,UID1000185692,5,12.9977368,77.559146
5390,UID1000185693,5,12.9970784,77.5586716
5391,UID1000187785,5,12.9935,77.5765
5392,UID1000188845,5,12.9958,77.5773
5393,UID1000189223,5,12.9892,77.5619
5394,UID1000189228,5,12.9948,77.5764
5395,UID1000189229,5,12.9956,77.5793
5396,UID1000189233,5,12.9888,77.5498
5397,UID1000189678,5,12.9941,77.5382
5398,UID1000189685,5,12.9858,77.5616
5399,UID1000189687,5,12.9868,77.5615
5400,UID1000190891,5,13.0018,77.5759
5401,UID1000192410,5,12.9957,77.5776
5402,UID1000192358,5,12.9882,77.5623
5403,UID1000192359,5,12.9889,77.5632
5404,UID1000192362,5,12.9884,77.5619
5405,UID1000192408,5,12.9989,77.5749
5406,UID1000192409,5,12.9976,77.5781
5407,UID1000192411,5,12.9974,77.5592
5408,UID1000192413,5,12.9983,77.5589
5409,UID1000192414,5,12.9981,77.5581
5410,UID1000190884,5,13.0004,77.5796
5411,UID1000192407,5,12.9989,77.5748
5412,UID1000185694,5,12.9966099,77.5587138
5413,UID1000192412,5,12.9983,77.5589
5414,UID1000192361,5,12.9884,77.5619
5415,UID1000188846,5,12.9964,77.577
5416,UID1000190990,5,12.997,77.5418
5417,UID1000190886,5,13.002,77.5803
5418,UID1000190892,5,13.0074,77.5413
5419,UID1000192415,5,12.998,77.5783
5420,UID1000121709,5,13.0339,77.5564
5421,UID1000154164,5,13.0019,77.5738
5422,UID1000154447,5,13.0358,77.5609
5423,UID1000154485,5,13.0235,77.5601
5424,UID1000155085,5,12.9975924,77.577038
5425,UID1000155950,5,12.9800452,77.5570129
5426,UID1000157175,5,12.9879,77.5509
5427,UID1000181934,5,13.0189,77.5506
5428,UID1000181935,5,13.0192,77.5509
5429,UID1000181938,5,12.9983,77.5589
5430,UID1000181940,5,12.9973,77.5578
5431,UID1000181941,5,12.9915,77.5547
5432,UID1000181943,5,13.0116,77.5443
5433,UID1000181944,5,13.0126,77.5452
5434,UID1000181946,5,13.0136,77.5448
5435,UID1000181977,5,13.009,77.5632
5436,UID1000182013,5,13.0253,77.5379
5437,UID1000182016,5,13.0204,77.535
5438,UID1000182017,5,13.0213,77.5589
5439,UID1000182018,5,13.0242,77.5573
5440,UID1000182288,5,13.0015,77.5612
5441,UID1000182290,5,13.0005,77.5609
5442,UID1000182291,5,13.0004,77.5605
5443,UID1000182292,5,13.0007,77.5601
5444,UID1000182575,5,12.9998834,77.5807532
5445,UID1000185064,5,12.9928,77.5272
5446,UID1000185066,5,12.9929,77.5269
5447,UID1000185068,5,12.9932,77.5303
5448,UID1000185071,5,12.9891,77.5327
5449,UID1000185072,5,12.9944,77.5262
5450,UID1000185073,5,12.9806,77.5583
5451,UID1000185279,5,12.9955,77.5367
5452,UID1000185595,5,13.0045,77.5409
5453,UID1000185596,5,13.0144,77.5438
5454,UID1000185597,5,13.0128,77.5451
5455,UID1000185598,5,13.0136,77.5447
5456,UID1000185599,5,13.0118,77.5439
5457,UID1000185600,5,12.9972,77.5451
5458,UID1000185601,5,12.9953,77.5462
5459,UID1000185602,5,13.0193,77.5374
5460,UID1000185604,5,12.997,77.5274
5461,UID1000185606,5,12.9945,77.5265
5462,UID1000185690,5,12.9877,77.531
5463,UID1000185947,5,13.0155,77.5471
5464,UID1000185950,5,13.0138,77.5469
5465,UID1000185969,5,12.9925057,77.5487141
5466,UID1000185970,5,12.9924617,77.54872
5467,UID1000185981,5,13.0052,77.5505
5468,UID1000185985,5,12.9879,77.5278
5469,UID1000185986,5,12.9879,77.5292
5470,UID1000185987,5,12.9892,77.5297
5471,UID1000185988,5,12.9888,77.5425
5472,UID1000185989,5,12.9911,77.5419
5473,UID1000185990,5,12.9913,77.5427
5474,UID1000186577,5,12.993,77.5485
5475,UID1000186712,5,13.0018,77.5555
5476,UID1000186715,5,12.9943,77.538
5477,UID1000186716,5,12.9911,77.53
5478,UID1000186718,5,12.9919,77.5285
5479,UID1000186867,5,13.001,77.5639
5480,UID1000186901,5,12.988,77.5355
5481,UID1000186902,5,12.9847,77.536
5482,UID1000186903,5,12.9808,77.5376
5483,UID1000186904,5,12.9807,77.5376
5484,UID1000186905,5,12.985,77.535
5485,UID1000186906,5,12.9894,77.5335
5486,UID1000186910,5,12.9896,77.5336
5487,UID1000187058,5,12.9926,77.5651
5488,UID1000187059,5,12.9938,77.5279
5489,UID1000187060,5,12.9939,77.5277
5490,UID1000187062,5,12.9879,77.5295
5491,UID1000187064,5,12.9889,77.5494
5492,UID1000187065,5,12.9896,77.5491
5493,UID1000187066,5,12.9891,77.549
5494,UID1000187067,5,12.9945,77.5514
5495,UID1000187068,5,12.9898,77.5543
5496,UID1000187069,5,12.9858,77.5347
5497,UID1000187070,5,12.9868,77.5329
5498,UID1000187071,5,12.9897,77.5387
5499,UID1000187072,5,12.9899,77.538
5500,UID1000187073,5,12.9919,77.5378
5501,UID1000187074,5,12.993,77.5363
5502,UID1000187078,5,12.9878,77.5295
5503,UID1000187080,5,12.9907,77.5487
5504,UID1000187081,5,12.9938,77.5527
5505,UID1000187115,5,12.9949,77.556
5506,UID1000187116,5,12.9983,77.5589
5507,UID1000187162,5,12.9953,77.5764
5508,UID1000187229,5,12.9844,77.5533
5509,UID1000187230,5,12.9843,77.5557
5510,UID1000187295,5,12.9981,77.5304
5511,UID1000187296,5,12.9981,77.5304
5512,UID1000187299,5,12.9862,77.5563
5513,UID1000187302,5,13.0003,77.5366
5514,UID1000187304,5,13.0001,77.536
5515,UID1000187305,5,13.0001,77.5357
5516,UID1000187307,5,12.99927,77.53261
5517,UID1000187310,5,13.0023,77.5443
5518,UID1000187311,5,13.0046592,77.5409147
5519,UID1000187664,5,12.992465,77.5554797
5520,UID1000187665,5,12.9874751,77.5535468
5521,UID1000187666,5,12.9883577,77.5584892
5522,UID1000187669,5,12.9988836,77.5315806
5523,UID1000187670,5,13.0127572,77.5449818
5524,UID1000187671,5,13.01284,77.5449317
5525,UID1000187672,5,13.013635,77.5446933
5526,UID1000187678,5,12.9899417,77.54578
5527,UID1000187679,5,12.9887967,77.5458133
5528,UID1000187680,5,12.9869167,77.5559653
5529,UID1000187681,5,12.99173,77.52778
5530,UID1000187682,5,12.9913233,77.52718
5531,UID1000187683,5,12.9889,77.532685
5532,UID1000187723,5,12.9982,77.5277
5533,UID1000187787,5,12.9886697,77.5352064
5534,UID1000188143,5,12.9938711,77.5609516
5535,UID1000188145,5,12.9918527,77.5599321
5536,UID1000188428,5,12.9961434,77.5782644
5537,UID1000188856,5,12.9941842,77.5599766
5538,UID1000188857,5,12.9946436,77.5575399
5539,UID1000188860,5,12.9942746,77.5620093
5540,UID1000189111,5,12.9879751,77.5293297
5541,UID1000189114,5,12.9957301,77.5248188
5542,UID1000189598,5,12.9949937,77.5606817
5543,UID1000189599,5,12.9958888,77.5571616
5544,UID1000189600,5,12.9958418,77.5575168
5545,UID1000189601,5,12.9943838,77.5616857
5546,UID1000190462,5,12.9887402,77.5493471
5547,UID1000190463,5,12.98874,77.5493433
5548,UID1000191167,5,12.9892653,77.5309043
5549,UID1000191169,5,12.9892386,77.5309601
5550,UID1000191185,5,12.9891417,77.549045
5551,UID1000191186,5,12.9798467,77.5415717
5552,UID1000191187,5,12.9895217,77.5367583
5553,UID1000191275,5,12.9910333,77.5419017
5554,UID1000191276,5,12.98863,77.5494367
5555,UID1000191473,5,13.0126505,77.5452071
5556,UID1000191571,5,13.000345,77.5796095
5557,UID1000193091,5,13.0318251,77.5611479
5558,UID1000182579,5,12.9951,77.5299
5559,UID1000185603,5,13.0065,77.5425
5560,UID1000185943,5,12.9878,77.5508
5561,UID1000186714,5,13.0034,77.5654
5562,UID1000188144,5,12.9934219,77.5579958
5563,UID1000186713,5,13.0035,77.5653
